tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
478,0,50,15,13,331,323,40,41,29,27578,8951,26,24,0,6,294,636,688,691,659,3842,3829
479,0,50,15,13,331,323,39,41,30,22841,10182,26,24,0,6,294,638,689,694,656,3859,3836
480,0,50,15,13,331,323,39,41,30,18670,11565,27,23,0,6,294,638,688,696,654,3870,3848
481,0,50,15,13,327,323,40,40,30,14456,13029,27,23,0,6,294,635,689,701,653,3885,3856
482,0,50,14,13,329,323,40,40,30,11716,14413,27,23,0,6,294,612,693,682,656,3893,3871
483,0,50,14,13,329,323,40,40,28,16145,13183,26,24,0,6,294,616,692,680,654,3904,3884
484,0,50,14,13,329,323,40,40,28,20342,11992,27,23,0,6,294,611,692,683,651,3911,3900
485,0,50,14,13,329,323,40,40,26,22299,11799,28,22,0,6,294,613,690,687,648,3923,3910
486,0,50,14,13,329,323,40,40,26,22261,11288,27,23,0,6,294,616,688,690,644,3936,3920
487,0,50,14,13,329,323,40,39,27,25111,11232,25,25,0,6,294,608,688,682,645,3949,3932
488,0,50,14,13,329,323,40,39,27,25706,10613,22,28,0,6,294,611,682,685,645,3962,3947
489,0,50,14,13,329,323,40,38,27,26719,10325,23,27,0,6,294,614,679,688,644,3972,3964
490,0,50,14,13,329,323,40,38,27,25672,9889,23,27,0,6,294,617,677,691,641,3985,3978
491,0,50,14,13,325,323,41,38,28,24345,10025,22,28,0,6,294,620,672,694,641,3999,3992
492,0,50,14,13,325,323,41,38,28,23857,10372,20,30,0,5,295,602,676,661,646,4014,4007
493,0,50,14,13,325,323,41,38,28,24342,10236,19,31,0,5,295,605,673,663,644,4033,4019
494,0,50,14,13,325,323,41,38,28,27939,10209,22,28,0,5,295,606,668,667,642,4054,4026
495,0,50,14,13,325,323,41,38,28,29004,10451,21,29,0,5,295,609,667,669,640,4066,4043
496,0,50,14,13,321,319,42,39,28,26837,10198,22,28,0,5,295,612,665,671,639,4079,4058
497,0,50,14,13,321,319,42,38,28,26782,10090,23,27,0,5,295,602,665,653,642,4096,4068
498,0,50,14,13,321,319,42,38,28,25284,10318,24,26,0,5,295,603,663,657,640,4108,4082
499,0,50,14,13,321,319,42,38,29,26209,10353,23,27,0,5,295,605,662,660,636,4125,4092
500,0,50,14,13,321,319,42,38,29,26338,9848,24,26,0,5,295,608,658,662,632,4137,4106
